fixed acidity,volatile acidity,critric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.567376043,0.15,0.820325873,1.6,0.17475524,243.3041542,100.354988,0.9948,3.4566478,0.6046939,13.29799367,7
3.006749011,0.28,1.602516366,1.8,0.341261524,218.1256758,310.7403803,0.9929,2.779327763,1.049840394,9.134692847,5
7.354262069,0.24,1.138283877,7.7,0.303812811,153.1708206,166.9648411,0.9938,2.94527185,0.873361278,10.59213972,6
6.942369367,0.22,1.090814628,10.4,0.084264408,116.1954762,360.2643329,0.9987,3.657074833,0.56528173,11.21927687,6
6.235026046,0.28,0.101779786,8.7,0.096892347,123.3522723,209.1576799,0.9961,2.971557611,0.896674046,10.43875374,5
5.808676888,0.3,0.829157615,2.1,0.012920092,272.754582,331.8493949,0.98956,3.687092231,0.626682055,11.54124781,7
4.089948519,0.24,0.541371702,9,0.178421974,73.88026958,355.6868756,0.99636,3.4245565,0.905491949,10.18799298,5
7.03064637,0.26,0.474833501,2.2,0.05423875,127.6185229,64.75157677,0.9937,2.764505961,0.316366062,12.72547064,5
11.35020431,0.16,1.00753677,1.1,0.117943712,207.8043554,289.3325341,0.9922,3.742303785,0.465465562,10.13512835,7
7.483378729,0.61,1.080740105,1.7,0.201495119,276.3200489,211.0341942,0.9946,3.116211006,0.904181712,12.39852885,5
10.35761724,0.26,0.981737386,4.8,0.163165802,107.2331659,42.38415139,0.99437,2.727288848,0.722338589,13.26588402,6
14.84046979,0.25,1.440530175,2.9,0.207665671,204.7639933,71.86603956,0.99008,3.794364074,0.674687501,8.687213991,8
6.478797982,0.32,0.369923203,6,0.218007165,180.514642,136.6657965,0.9953,2.715851037,0.250001211,9.773603065,5
11.08986697,0.28,0.00994696,11.9,0.215437979,13.37038628,371.3354941,0.9976,3.642805263,0.457639877,8.215509297,5
10.51027812,0.2,0.248341356,16.95,0.061392933,191.2246423,160.7585375,0.9995,3.805598137,0.259356408,12.47839226,7
10.91333006,0.22,0.245613691,12,0.228825119,208.4946584,156.1691505,0.9983,3.305993624,0.527355305,8.425207676,6
9.15445162,0.2,1.041132634,2.7,0.202755299,93.46470988,53.5976765,0.99,3.393783431,0.259204906,13.72719876,7
13.9438239,0.31,0.470781599,4.5,0.182556644,125.4776026,368.2829604,0.98906,3.534096644,0.582648502,8.971564114,7
6.579952769,0.34,0.395757593,11.1,0.151738138,176.3893687,186.2329175,0.9981,2.738520716,0.610691675,12.60228625,5
10.80286886,0.16,1.210629007,1.2,0.053329299,79.90992312,174.1464134,0.99111,3.301151306,0.850017697,10.99991933,6
13.16336388,0.27,1.242680903,4.5,0.129918405,271.2981588,110.1475463,0.98956,3.454086883,0.853349709,10.40906884,8
13.31781424,0.27,1.035857573,1.6,0.26479236,41.87177333,414.5937305,0.9924,3.608792144,0.777800751,13.55794737,6
5.764793789,0.27,0.771513113,10.6,0.143047423,20.4335828,345.4326198,0.997,3.783652769,0.30619172,11.11813183,5
5.139179267,0.18,0.274451223,1.3,0.10370403,47.7639669,393.1352662,0.9912,3.313840284,0.560673002,8.017439097,5
13.35480246,0.26,0.305708507,6.5,0.192045084,48.01151925,142.9005396,0.9956,3.547449996,0.982979186,13.62616871,7
4.465940319,0.59,0.31135077,17.35,0.271363102,125.1583939,273.8280085,1,3.119459891,0.519010763,11.94888272,5
3.612860032,0.16,0.129092911,2,0.329554981,111.7839161,240.3289785,0.99514,3.755668232,0.739324354,12.09232517,5
12.59795726,0.4,1.513681254,8.9,0.334127849,150.3235,78.43953979,0.996,3.677316946,0.723705206,13.38551116,7
5.83194683,0.32,1.056057587,1.4,0.007095437,24.0571129,380.6645575,0.99244,3.379560459,0.989388661,9.930985483,5
5.512557881,0.27,1.667790913,1.8,0.099069755,173.1557272,221.2121278,0.9914,3.224843876,0.676546714,13.71776466,6
12.07000229,0.39,1.485930285,9.7,0.335636304,30.94766089,358.3220869,0.99787,3.054193852,0.240471848,13.61270921,5
7.153067587,0.18,0.843313449,1.2,0.211261887,272.7591033,267.7153152,0.992,2.894787949,0.877934239,14.12897067,7
6.607092755,0.2,0.909416689,1.2,0.008772021,112.1399046,315.7751794,0.9921,2.881263166,0.340088492,9.764613543,5
7.145611301,0.18,1.130693558,6.4,0.215671309,68.86599421,336.6960547,0.9956,3.503861644,0.548470181,8.038814809,5
4.14570053,0.21,0.0524522,7.9,0.337142587,46.75141929,104.979707,0.9942,3.539114997,0.386402444,11.98178382,5
4.436393218,0.26,1.019323548,6.3,0.083424526,273.3649395,115.7105341,0.99573,3.452492481,0.467028738,11.43447765,6
12.29942851,0.14,1.101973962,5.9,0.289186628,169.9712711,176.9848929,0.9954,2.871623718,0.384319689,12.08433836,6
4.258667891,0.2,1.267762348,0.9,0.024091686,187.7554166,232.1618872,0.99062,3.494983117,0.406247557,10.53941098,6
3.886945218,0.26,1.314216018,1.8,0.312990883,79.06916588,118.982474,0.98995,3.681706533,0.248892572,10.17116138,5
14.15515543,0.36,1.742542718,3.2,0.185943517,125.0929728,376.6108033,0.991,3.239403484,1.065571965,9.044956368,7
7.486224812,0.17,1.04080194,1,0.24740864,83.99366112,417.6206626,0.993,3.237750649,0.910063615,10.20313976,5
4.914112071,0.4,1.268788857,8.2,0.216819672,281.9925123,58.49675249,0.9979,3.175422637,0.729139628,8.120622796,5
13.19067296,0.28,0.094398575,15.5,0.059578944,124.6784714,417.4242846,0.99408,3.04077699,0.761525153,11.72051282,7
11.82662463,0.28,0.316481911,1.9,0.171483486,278.1781749,340.4382375,0.9933,3.462727962,0.502650369,13.96670621,7
13.26349224,0.26,0.559489341,8.3,0.029545894,76.42539119,191.2950314,0.99601,3.778799067,0.550239547,13.1233935,7
7.475646835,0.27,1.327636691,1.4,0.076880093,93.22757347,445.3283483,0.9931,3.458023346,0.275551421,13.83664845,6
10.50558678,0.15,0.593205373,12.9,0.298053025,191.4170146,193.399772,0.99742,3.368769715,0.525361834,12.39343472,7
11.12827619,0.32,0.613791196,8.25,0.054436658,247.7256639,416.8318045,0.99362,3.593941577,1.063546043,12.52887419,8
4.28177082,0.2,0.220237671,2,0.188850224,22.26616438,103.3228267,0.9911,3.049160478,0.519178711,8.548347777,5
14.39123614,0.46,1.249099248,2.7,0.297167303,254.718141,88.38367658,0.9931,3.352006698,0.323730224,12.39117534,7
9.220470379,0.2,1.696400695,6.2,0.027303313,193.6959459,318.0709958,0.992,3.432738789,0.380715397,10.30987162,7
9.831868452,0.16,1.616584166,14.3,0.080739148,144.7332705,389.9921694,0.998,3.355456019,0.99694609,11.29854895,7
4.758496152,0.185,1.051240698,7.1,0.12418903,140.4794436,37.52438818,0.99438,3.243523463,0.22521843,12.08705465,6
6.754024001,0.37,1.074910097,2,0.304380474,43.93472704,306.5053816,0.9903,3.07856066,0.942456258,11.40915909,5
10.06861019,0.26,0.303775452,18.35,0.329713626,147.9571637,349.6690263,1.0011,2.788662959,1.051006157,8.816431972,5
6.423954163,0.49,1.100340304,17.8,0.228320495,269.671249,317.4715688,1.0007,3.026879256,0.444660091,13.61013056,6
5.149201952,0.41,1.130620618,10.1,0.343649269,108.2510238,224.531,0.9968,3.696816575,1.065222578,8.731879064,5
3.067501363,0.22,0.96366304,1.8,0.108903773,23.0367746,301.9688685,0.9884,3.666355367,0.713151505,11.53573245,6
4.75411927,0.29,1.047915645,18.15,0.001993966,255.6263406,328.1297593,0.9992,3.465816807,0.435881374,9.252776813,6
7.742880252,0.37,0.825396823,11.6,0.159421837,38.65989327,89.3868134,0.9963,3.082662473,0.881250846,10.74361974,5
3.011810036,0.19,0.364800703,4.9,0.195846785,273.3162405,312.137432,0.9935,2.988685291,0.466744567,11.98175164,6
10.3537525,0.26,1.451141421,4.8,0.158253397,78.58975072,167.8732703,0.99437,3.408809103,0.483924708,10.9690663,6
11.33895778,0.27,0.849662104,2.4,0.150036406,210.9574803,141.6760278,0.9936,3.032777391,0.264189768,11.90484562,6
13.31129372,0.13,0.094251469,13.9,0.160671573,87.90867812,30.29239483,0.99702,2.98578832,0.433094415,9.353248297,6
6.162652237,0.35,1.115247216,12.6,0.024460204,175.9402802,362.7306651,0.99539,3.425930302,0.572027738,10.84257272,6
11.22670212,0.28,1.710471087,4,0.266928522,122.7417856,235.5909229,0.9896,3.523711706,0.562542307,8.745791903,7
10.86616343,0.19,1.665404627,1.1,0.027523923,202.6537113,166.1766014,0.9909,3.24572327,0.618368905,12.12737466,7
10.04588915,0.21,0.441594098,6.8,0.205251323,166.0216672,180.8076229,0.9951,3.419227704,0.373438778,9.583468446,6
8.394354277,0.16,1.684646403,5.3,0.030604064,224.9219504,240.3548499,0.99455,3.716412573,1.075371938,8.19750708,7
11.81182141,0.28,1.316001846,10.3,0.091560797,263.1936175,198.2139479,0.99388,3.61113499,1.000760752,12.95938748,8
4.987249524,0.18,1.506201369,4.6,0.218730869,148.9017576,292.8072197,0.9927,3.135827392,0.998413108,11.39857055,6
3.216707817,0.2,0.669170405,10.9,0.163547925,282.5081657,404.4760775,0.99496,2.832148744,0.543112372,13.17401892,6
